Year,Town,Census Units,Government Assisted,Tenant Rental Assistance,Deed Restricted Units,Total Assisted Units,Percent Affordable
2023,Bozrah,1131,0,2,0,26,2.3
2023,Branford,14180,243,64,9,440,3.1
2023,Bridgeport,58874,7027,4385,12,12174,20.68
2023,Bridgewater,863,0,0,0,1,0.12
2023,Bristol,27251,2006,966,0,3976,14.59
2023,Brookfield,7116,155,26,112,371,5.21
2023,Brooklyn,3342,205,11,0,269,8.05
2023,Burlington,3628,27,0,0,73,2.01
2023,Canaan,639,1,2,3,10,1.56
2023,Canterbury,2044,76,1,0,127,6.21
2023,Canton,4383,251,32,32,360,8.21
2023,Chaplin,955,0,1,0,27,2.83
2023,Cheshire,10401,258,15,17,366,3.52
2023,Chester,1793,23,4,0,39,2.18
2023,Clinton,6283,105,8,0,171,2.72
2023,Colchester,6441,364,39,4,531,8.24
2023,Colebrook,694,0,0,1,7,1.01
2023,Columbia,2294,24,2,0,73,3.18
2023,Cornwall,1002,28,2,0,36,3.59
2023,Coventry,5273,103,3,20,241,4.57
2023,Cromwell,6162,212,11,0,377,6.12
2023,Danbury,33562,1652,1297,210,3527,10.51
2023,Darien,7265,161,18,117,297,4.09
2023,Deep River,2112,44,7,0,79,3.74
2023,Derby,5759,275,323,0,699,12.14
2023,Durham,2828,36,0,0,59,2.09
2023,Eastford,806,0,1,0,11,1.36
2023,East Granby,2183,72,2,0,111,5.08
2023,East Haddam,4477,73,2,0,126,2.81
2023,East Hampton,5637,70,5,25,181,3.21
2023,East Hartford,21361,1593,788,0,3354,15.7
2023,East Haven,12394,612,165,0,1032,8.33
2023,East Lyme,9080,452,23,19,570,6.28
2023,Easton,2756,0,0,10,14,0.51
2023,East Windsor,5348,559,40,0,701,13.11
2023,Ellington,7054,260,6,0,364,5.16
2023,Enfield,17741,1360,232,7,2164,12.2
2023,Essex,3329,75,1,16,107,3.21
2023,Fairfield,21982,231,163,219,671,3.05
2023,Farmington,11667,538,129,155,937,8.03
2023,Franklin,790,27,1,0,47,5.95
2023,Glastonbury,14481,604,57,2,758,5.23
2023,Goshen,1708,1,1,0,6,0.35
2023,Granby,4448,85,2,3,133,2.99
2023,Greenwich,25677,940,475,47,1472,5.73
2023,Griswold,5027,222,60,0,401,7.98
2023,Groton,18154,3727,97,10,4147,22.84
2023,Guilford,9693,177,10,1,215,2.22
2023,Haddam,3540,22,1,0,46,1.3
2023,Hamden,25984,1048,838,117,2442,9.4
2023,Hampton,790,0,1,0,11,1.39
2023,Hartford,53259,10755,8991,0,21165,39.74
2023,Hartland,843,2,0,0,5,0.59
2023,Harwinton,2313,22,6,5,68,2.94
2023,Hebron,3618,58,2,0,108,2.99
2023,Kent,1687,58,3,0,64,3.79
2023,Killingly,7884,467,145,0,746,9.46
2023,Killingworth,2601,0,1,1,20,0.77
2023,Lebanon,3147,26,6,0,107,3.4
2023,Ledyard,6150,32,8,6,235,3.82
2023,Lisbon,1728,2,0,0,54,3.13
2023,Litchfield,3966,140,4,19,189,4.77
2023,Lyme,1220,0,0,8,11,0.9
2023,Madison,8060,90,3,29,130,1.61
2023,Manchester,26445,1864,981,32,3711,14.03
2023,Mansfield,6956,175,124,2,376,5.41
2023,Marlborough,2388,24,0,0,46,1.93
2023,Meriden,26177,2057,1466,11,4466,17.06
2023,Middlebury,3047,77,5,20,114,3.74
2023,Middlefield,1882,30,5,1,57,3.03
2023,Middletown,21671,3048,1137,25,4668,21.54
2023,Milford,23749,728,315,74,1257,5.29
2023,Monroe,6918,35,3,8,84,1.21
2023,Montville,7402,81,49,0,373,5.04
2023,Morris,1253,20,0,0,25,2
2023,Naugatuck,13239,493,296,0,1102,8.32
2023,New Britain,31510,3041,1689,89,5925,18.8
2023,New Canaan,7502,255,33,0,295,3.93
2023,New Fairfield,5635,0,7,16,72,1.28
2023,New Hartford,2968,12,6,9,65,2.19
2023,New Haven,57525,9652,7632,354,18460,32.09
2023,Newington,13219,531,121,36,1134,8.58
2023,New London,12119,1648,491,175,2784,22.97
2023,New Milford,11928,319,36,29,519,4.35
2023,Newtown,10322,134,7,65,283,2.74
2023,Norfolk,932,21,2,0,28,3
2023,North Branford,5633,62,12,0,119,2.11
2023,North Canaan,1582,111,0,0,120,7.59
2023,North Haven,9981,393,50,23,547,5.48
2023,North Stonington,2226,0,2,8,28,1.26
2023,Norwalk,38152,2434,1578,732,5090,13.34
2023,Norwich,18769,2350,813,0,3681,19.61
2023,Old Lyme,4988,64,2,3,80,1.6
2023,Old Saybrook,5870,52,14,73,160,2.73
2023,Orange,5480,46,10,6,72,1.31
2023,Oxford,5022,36,4,0,65,1.29
2023,Plainfield,6264,429,188,4,785,12.53
2023,Plainville,8045,205,56,22,558,6.94
2023,Plymouth,5151,178,22,0,369,7.16
2023,Pomfret,1686,32,2,0,45,2.67
2023,Portland,4128,120,85,0,260,6.3
2023,Preston,2049,40,6,0,81,3.95
2023,Prospect,3762,0,4,55,102,2.71
2023,Putnam,4292,536,71,0,666,15.52
2023,Redding,3664,0,3,0,16,0.44
2023,Ridgefield,9506,175,6,79,281,2.96
2023,Rocky Hill,9319,235,66,0,436,4.68
2023,Roxbury,1163,19,0,0,23,1.98
2023,Salem,1719,0,2,0,26,1.51
2023,Salisbury,2519,24,1,14,40,1.59
2023,Scotland,650,0,0,0,23,3.54
2023,Seymour,7112,262,33,0,393,5.53
2023,Sharon,1724,32,1,0,35,2.03
2023,Shelton,17174,322,61,82,575,3.35
2023,Sherman,1834,0,1,0,6,0.33
2023,Simsbury,10057,289,63,28,472,4.69
2023,Somers,3622,146,7,0,186,5.14
2023,Southbury,9270,90,7,0,124,1.34
2023,Southington,18145,499,67,56,934,5.15
2023,South Windsor,10804,443,51,12,677,6.27
2023,Sprague,1268,20,10,1,54,4.26
2023,Stafford,5237,257,22,0,384,7.33
2023,Stamford,56953,4262,2062,1268,7936,13.93
2023,Sterling,1479,0,7,0,29,1.96
2023,Stonington,9447,484,21,14,585,6.19
2023,Stratford,21643,524,424,33,1307,6.04
2023,Suffield,5879,296,5,4,357,6.07
2023,Thomaston,3340,104,7,0,207,6.2
2023,Thompson,4143,151,15,0,202,4.88
2023,Tolland,5630,127,9,3,236,4.19
2023,Torrington,17040,972,334,17,1849,10.85
2023,Trumbull,13159,315,15,284,685,5.21
2023,Union,377,0,0,0,5,1.33
2023,Vernon,14761,1509,482,12,2329,15.78
2023,Voluntown,1135,20,2,0,43,3.79
2023,Wallingford,18938,354,150,35,800,4.22
2023,Warren,790,0,0,0,1,0.13
2023,Washington,2056,17,1,28,49,2.38
2023,Waterbury,48392,5385,3326,39,10292,21.27
2023,Waterford,8873,213,39,0,472,5.32
2023,Watertown,9137,205,33,0,454,4.97
2023,Westbrook,3976,140,7,29,201,5.06
2023,West Hartford,27240,695,857,245,2083,7.65
2023,West Haven,22735,1024,2172,0,3547,15.6
2023,Weston,3671,0,1,0,6,0.16
2023,Westport,10567,265,57,75,398,3.77
2023,Wethersfield,11809,705,110,0,1066,9.03
2023,Willington,2685,184,7,0,224,8.34
2023,Wilton,6567,158,12,51,233,3.55
2023,Winchester,5405,269,147,0,512,9.47
2023,Windham,9663,1776,591,0,2673,27.66
2023,Windsor,12038,154,249,26,849,7.05
2023,Windsor Locks,5815,297,169,0,687,11.81
2023,Wolcott,6408,313,7,0,484,7.55
2023,Woodbridge,3476,30,6,0,40,1.15
2023,Woodbury,4584,60,4,0,94,2.05
2023,Woodstock,3669,24,1,0,48,1.31
